id,name,price,quantity
25,Масло,274.44,90
36,Масло,331.73,56
98,Масло,249.7,91
90,Масло,105.14,6
17,Масло,79.52,80
53,Хлеб,343.52,81
98,Хлеб,334.4,56
91,Масло,237.22,68
29,Масло,29.63,24
41,Масло,399.56,66
100,Хлеб,228.66,48
77,Хлеб,371.94,45
43,Сыр,333.22,6
90,Хлеб,67.82,97
33,Масло,195.5,65
80,Хлеб,47.27,48
36,Масло,330.2,52
74,Хлеб,38.06,92
14,Сыр,310.15,7
93,Сыр,199.42,62
91,Масло,154.37,79
28,Хлеб,348.37,22
35,Сыр,258.64,15
74,Сыр,499.26,65
93,Сыр,23.96,67
77,Масло,345.15,43
15,Масло,311.53,97
93,Хлеб,323.31,65
4,Хлеб,77.79,38
99,Хлеб,475.02,38
18,Хлеб,476.9,14
57,Масло,145.99,66
46,Сыр,138.11,23
10,Сыр,475.48,62
48,Хлеб,220.89,29
1,Хлеб,369.6,57
96,Масло,353.88,39
28,Сыр,265.11,33
87,Хлеб,259.96,74
85,Хлеб,91.04,9
51,Масло,428.21,73
8,Хлеб,297.89,86
13,Хлеб,299.44,69
58,Сыр,481.81,7
14,Масло,53.52,13
19,Сыр,169.64,3
62,Масло,473.79,25
73,Масло,38.77,37
22,Сыр,50.7,14
56,Хлеб,382.75,51
